family,iter,c,obs,mean,ci_lo,ci_hi,B,pool,minedge
Austronesian,1,0.1512,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,2,0.2100,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,3,0.1655,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,4,0.1815,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,5,0.1938,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,6,0.1957,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,7,0.1938,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,8,0.1517,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,9,0.2000,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,10,0.1880,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,11,0.1754,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,12,0.1517,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,13,0.1667,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,14,0.1586,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,15,0.1742,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,16,0.1754,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,17,0.1538,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,18,0.1795,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,19,0.1655,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,20,0.2174,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,21,0.1705,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,22,0.1825,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,23,0.1655,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,24,0.1648,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,25,0.1995,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,26,0.1847,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,27,0.1709,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,28,0.1754,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,29,0.2372,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,30,0.1921,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,31,0.2000,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,32,0.2982,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,33,0.1551,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,34,0.1916,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,35,0.1846,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,36,0.1862,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,37,0.1548,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,38,0.1818,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,39,0.1624,0.1587,0.1828,0.1517,0.2982,40,30,30
Austronesian,40,0.2063,0.1587,0.1828,0.1517,0.2982,40,30,30
